,fdr,spatially_variable
gene_0,4.9999999999999993e-29,1
gene_1,4.9999999999999993e-29,1
gene_2,4.9999999999999993e-29,1
gene_3,4.9999999999999993e-29,1
gene_4,4.9999999999999993e-29,1
gene_5,4.9999999999999993e-29,1
gene_6,4.9999999999999993e-29,1
gene_7,4.9999999999999993e-29,1
gene_8,4.9999999999999993e-29,1
gene_9,4.9999999999999993e-29,1
gene_10,4.9999999999999993e-29,1
gene_11,4.9999999999999993e-29,1
gene_12,4.9999999999999993e-29,1
gene_13,4.9999999999999993e-29,1
gene_14,4.9999999999999993e-29,1
gene_15,4.9999999999999993e-29,1
gene_16,4.9999999999999993e-29,1
gene_17,4.9999999999999993e-29,1
gene_18,4.9999999999999993e-29,1
gene_19,4.9999999999999993e-29,1
gene_20,4.9999999999999993e-29,1
gene_21,4.9999999999999993e-29,1
gene_22,4.9999999999999993e-29,1
gene_23,4.9999999999999993e-29,1
gene_24,4.9999999999999993e-29,1
gene_25,4.9999999999999993e-29,1
gene_26,4.9999999999999993e-29,1
gene_27,4.9999999999999993e-29,1
gene_28,4.9999999999999993e-29,1
gene_29,4.9999999999999993e-29,1
gene_30,4.9999999999999993e-29,1
gene_31,4.9999999999999993e-29,1
gene_32,4.9999999999999993e-29,1
gene_33,4.9999999999999993e-29,1
gene_34,4.9999999999999993e-29,1
gene_35,4.9999999999999993e-29,1
gene_36,4.9999999999999993e-29,1
gene_37,4.9999999999999993e-29,1
gene_38,4.9999999999999993e-29,1
gene_39,4.9999999999999993e-29,1
gene_40,4.9999999999999993e-29,1
gene_41,4.9999999999999993e-29,1
gene_42,4.9999999999999993e-29,1
gene_43,4.9999999999999993e-29,1
gene_44,4.9999999999999993e-29,1
gene_45,4.9999999999999993e-29,1
gene_46,4.9999999999999993e-29,1
gene_47,4.9999999999999993e-29,1
gene_48,4.9999999999999993e-29,1
gene_49,4.9999999999999993e-29,1
gene_50,0.012310776827554347,0
gene_51,0.0042631087890419765,0
gene_52,0.00358557542795918,0
gene_53,0.01453403832386398,0
gene_54,0.5057384440298828,0
gene_55,0.03829362995250293,0
gene_56,0.013032681663083067,0
gene_57,0.005958148093383938,0
gene_58,0.00349092219387062,0
gene_59,0.0027242328267945127,0
gene_60,0.0009672278434175295,0
gene_61,0.007511142718382056,0
gene_62,0.015631710900665556,0
gene_63,0.001551549650272912,0
gene_64,0.00358557542795918,0
